               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.015682,           0.0045672,                   0,              0.9741,                   1,             0.99253,             0.88167,            0.011361,           0.0029295,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.013985,           0.0043418,                   0,             0.97477,             0.99123,             0.99447,             0.86873,            0.011499,           0.0028606,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.015008,           0.0043653,                   0,             0.97398,                   1,             0.99421,             0.87365,            0.011474,           0.0029271,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.014068,            0.004508,                   0,             0.98268,             0.99539,             0.99421,             0.87677,            0.011358,           0.0028979,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.014029,           0.0043312,                   0,             0.97832,                   1,             0.99359,              0.8777,             0.01126,            0.002978,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.013743,           0.0041538,                   0,             0.98023,                   1,             0.99332,             0.88957,            0.010873,            0.003095,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.013839,           0.0044328,                   0,              0.9718,                   1,              0.9935,             0.88265,              0.0108,            0.002828,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.014079,           0.0042575,                   0,              0.9806,                   1,             0.99286,             0.88128,            0.010571,           0.0027659,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.013995,           0.0043704,                   0,              0.9819,                   1,             0.99322,             0.89924,           0.0099434,           0.0028156,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.014299,           0.0043243,                   0,             0.98109,                   1,             0.99385,             0.86783,             0.01206,           0.0027722,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.014054,           0.0043942,                   0,             0.98076,                   1,             0.99376,             0.87967,            0.010871,           0.0027919,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.014382,            0.004431,                   0,             0.98098,                   1,             0.99358,             0.89103,             0.01028,            0.002746,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,             0.01384,           0.0042438,                   0,             0.98169,                   1,             0.99244,             0.88401,            0.010459,           0.0028214,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.013648,           0.0042422,                   0,             0.98079,                   1,             0.98833,             0.89124,            0.010263,           0.0028323,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.014518,           0.0042578,                   0,             0.98122,                   1,             0.98882,             0.88128,            0.010675,           0.0028121,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.014852,           0.0042274,                   0,             0.98029,                   1,             0.98837,             0.87451,            0.010828,            0.002837,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.014811,           0.0043225,                   0,             0.98159,                   1,              0.9916,             0.88165,            0.010745,           0.0028911,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.013468,           0.0042412,                   0,             0.98184,                   1,             0.99359,             0.86719,            0.011055,           0.0028488,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.014509,            0.004222,                   0,             0.98256,                   1,             0.99386,             0.89015,            0.010692,           0.0028816,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.013633,           0.0044268,                   0,              0.9818,                   1,             0.98995,             0.88828,            0.010282,           0.0028068,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.013409,           0.0043819,                   0,             0.98124,                   1,              0.9923,             0.87523,            0.010553,           0.0028287,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.013334,           0.0040583,                   0,             0.98272,              0.9979,             0.99205,             0.89062,             0.01012,            0.002752,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,             0.01461,           0.0041224,                   0,             0.98275,             0.99947,              0.9934,             0.89897,            0.010274,           0.0026902,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.014838,           0.0042208,                   0,             0.98138,                   1,             0.99258,             0.86791,            0.012107,           0.0028603,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.013065,           0.0040728,                   0,             0.98144,                   1,             0.99286,             0.87446,            0.011094,           0.0027468,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.014127,           0.0043638,                   0,             0.97983,                   1,             0.99086,             0.87846,            0.011079,           0.0027917,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.013499,           0.0040616,                   0,             0.98062,                   1,             0.98678,             0.87917,            0.010633,            0.002784,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.013462,           0.0043038,                   0,              0.9818,                   1,              0.9904,             0.89126,            0.010267,           0.0027432,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,             0.01334,           0.0043602,                   0,             0.98089,                   1,              0.9934,             0.89095,            0.010356,           0.0027377,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.013019,           0.0042118,                   0,             0.98156,                   1,             0.99349,             0.89654,            0.010101,           0.0027294,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.014029,           0.0040942,                   0,             0.98211,                   1,             0.99359,             0.89122,            0.009997,           0.0026813,                   0,            0.006931,            0.006931,            0.006931
                 157,             0.01475,           0.0042436,                   0,             0.98196,                   1,             0.99138,              0.8862,            0.010534,           0.0028104,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.013496,           0.0040919,                   0,             0.98085,                   1,             0.98816,             0.87989,            0.010576,           0.0029009,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.013978,           0.0040672,                   0,             0.97692,                   1,             0.98588,             0.86906,            0.010549,           0.0029243,                   0,           0.0068716,           0.0068716,           0.0068716
